epoch 100 : gan_loss = [20.611895, 1.1920933e-07, 20.611895] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 101 : gan_loss = [12.64202, 1.1920933e-07, 12.64202] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 102 : gan_loss = [14.709391, 1.1920933e-07, 14.709391] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 103 : gan_loss = [11.089219, 1.1920933e-07, 11.089219] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 104 : gan_loss = [9.374678, 1.1920933e-07, 9.374678] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 105 : gan_loss = [10.371027, 1.1920933e-07, 10.371027] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 106 : gan_loss = [15.498299, 1.1920933e-07, 15.498299] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 107 : gan_loss = [21.547066, 1.1920933e-07, 21.547066] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 108 : gan_loss = [15.961271, 1.1920933e-07, 15.961271] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 109 : gan_loss = [13.940466, 1.1920933e-07, 13.940466] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 110 : gan_loss = [18.15313, 1.1920933e-07, 18.15313] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 111 : gan_loss = [16.495808, 1.1920933e-07, 16.495808] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 112 : gan_loss = [13.30303, 1.1920933e-07, 13.30303] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 113 : gan_loss = [13.932607, 1.1920933e-07, 13.932607] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 114 : gan_loss = [17.712729, 1.1920933e-07, 17.712729] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 115 : gan_loss = [10.662135, 1.1920933e-07, 10.662135] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 116 : gan_loss = [13.587299, 1.1920933e-07, 13.587299] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 117 : gan_loss = [12.304603, 1.1920933e-07, 12.304603] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 118 : gan_loss = [17.962513, 1.1920933e-07, 17.962513] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 119 : gan_loss = [9.4503355, 1.1920933e-07, 9.4503355] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 120 : gan_loss = [11.970578, 1.1920933e-07, 11.970578] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 121 : gan_loss = [16.112324, 1.1920933e-07, 16.112324] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 122 : gan_loss = [12.617004, 1.1920933e-07, 12.617004] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 123 : gan_loss = [16.889246, 1.1920933e-07, 16.889246] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 124 : gan_loss = [11.621031, 1.1920933e-07, 11.621031] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 125 : gan_loss = [14.33679, 1.1920933e-07, 14.33679] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 126 : gan_loss = [17.246218, 1.1920933e-07, 17.246218] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 127 : gan_loss = [17.01912, 1.1920933e-07, 17.01912] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 128 : gan_loss = [8.457619, 1.1920933e-07, 8.457619] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 129 : gan_loss = [10.1634655, 1.1920933e-07, 10.1634655] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 130 : gan_loss = [10.654184, 1.1920933e-07, 10.654184] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 131 : gan_loss = [11.716027, 1.1920933e-07, 11.716027] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 132 : gan_loss = [19.694736, 1.1920933e-07, 19.694736] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 133 : gan_loss = [13.493554, 1.1920933e-07, 13.493554] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 134 : gan_loss = [9.568635, 1.1920933e-07, 9.568635] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 135 : gan_loss = [18.892605, 1.1920933e-07, 18.892605] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 136 : gan_loss = [9.838807, 1.1920933e-07, 9.838807] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 137 : gan_loss = [15.551554, 1.1920933e-07, 15.551554] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 138 : gan_loss = [11.742905, 1.1920933e-07, 11.742905] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 139 : gan_loss = [10.516284, 1.1920933e-07, 10.516284] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 140 : gan_loss = [14.830425, 1.1920933e-07, 14.830425] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 141 : gan_loss = [12.381494, 1.1920933e-07, 12.381494] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 142 : gan_loss = [14.2699795, 1.1920933e-07, 14.2699795] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 143 : gan_loss = [14.804109, 1.1920933e-07, 14.804109] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 144 : gan_loss = [17.371758, 1.1920933e-07, 17.371758] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 145 : gan_loss = [13.269861, 1.1920933e-07, 13.269861] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 146 : gan_loss = [10.108126, 1.1920933e-07, 10.108126] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 147 : gan_loss = [14.369599, 1.1920933e-07, 14.369599] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 148 : gan_loss = [14.002022, 1.1920933e-07, 14.002022] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 149 : gan_loss = [19.582176, 1.1920933e-07, 19.582176] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 150 : gan_loss = [10.073137, 1.1920933e-07, 10.073137] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 151 : gan_loss = [25.397644, 1.1920933e-07, 25.397644] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 152 : gan_loss = [13.09303, 1.1920933e-07, 13.09303] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 153 : gan_loss = [12.960386, 1.1920933e-07, 12.960386] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 154 : gan_loss = [9.638567, 1.1920933e-07, 9.638567] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 155 : gan_loss = [16.918177, 1.1920933e-07, 16.918177] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 156 : gan_loss = [11.02004, 1.1920933e-07, 11.02004] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 157 : gan_loss = [8.306774, 1.1920933e-07, 8.306774] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 158 : gan_loss = [11.686136, 1.1920933e-07, 11.686136] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 159 : gan_loss = [11.835793, 1.1920933e-07, 11.835793] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 160 : gan_loss = [12.3756075, 1.1920933e-07, 12.3756075] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 161 : gan_loss = [17.548372, 1.1920933e-07, 17.548372] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 162 : gan_loss = [12.778944, 1.1920933e-07, 12.778944] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 163 : gan_loss = [15.958894, 1.1920933e-07, 15.958894] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 164 : gan_loss = [15.788829, 1.1920933e-07, 15.788829] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 165 : gan_loss = [12.064897, 1.1920933e-07, 12.064897] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 166 : gan_loss = [10.075691, 1.1920933e-07, 10.075691] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 167 : gan_loss = [13.601476, 1.1920933e-07, 13.601476] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 168 : gan_loss = [16.349031, 1.1920933e-07, 16.349031] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 169 : gan_loss = [11.12948, 1.1920933e-07, 11.12948] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 170 : gan_loss = [16.066107, 1.1920933e-07, 16.066107] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 171 : gan_loss = [16.669872, 1.1920933e-07, 16.669872] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 172 : gan_loss = [15.198528, 1.1920933e-07, 15.198528] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 173 : gan_loss = [18.373865, 1.1920933e-07, 18.373865] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 174 : gan_loss = [17.641577, 1.1920933e-07, 17.641577] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 175 : gan_loss = [8.59663, 1.1920933e-07, 8.59663] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 176 : gan_loss = [19.115124, 1.1920933e-07, 19.115124] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 177 : gan_loss = [13.337389, 1.1920933e-07, 13.337389] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 178 : gan_loss = [12.882755, 1.1920933e-07, 12.882755] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 179 : gan_loss = [25.776896, 1.1920933e-07, 25.776896] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 180 : gan_loss = [13.059392, 1.1920933e-07, 13.059392] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 181 : gan_loss = [10.014681, 1.1920933e-07, 10.014681] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 182 : gan_loss = [7.6466937, 1.1920933e-07, 7.6466937] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 183 : gan_loss = [18.549076, 1.1920933e-07, 18.549076] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 184 : gan_loss = [16.656, 1.1920933e-07, 16.656] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 185 : gan_loss = [9.477922, 1.1920933e-07, 9.477922] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 186 : gan_loss = [16.533459, 1.1920933e-07, 16.533459] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 187 : gan_loss = [12.762423, 1.1920933e-07, 12.762423] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 188 : gan_loss = [7.4323406, 1.1920933e-07, 7.4323406] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 189 : gan_loss = [10.373226, 1.1920933e-07, 10.373226] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 190 : gan_loss = [12.600968, 1.1920933e-07, 12.600968] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 191 : gan_loss = [7.7164664, 1.1920933e-07, 7.7164664] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 192 : gan_loss = [6.676037, 1.1920933e-07, 6.676037] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 193 : gan_loss = [8.826955, 1.1920933e-07, 8.826955] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 194 : gan_loss = [12.31884, 1.1920933e-07, 12.31884] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 195 : gan_loss = [8.889713, 1.1920933e-07, 8.889713] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 196 : gan_loss = [9.857877, 1.1920933e-07, 9.857877] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
